t,YDIF
25.8,0.974278
25.833333,0.01011
25.866667,7.72996
25.9,8.0765
25.933333,0.00635
25.966667,0.02113
26,0.0049375
26.033333,14.9259
26.066667,0.01945
26.1,2.87138
26.133333,6.77721
26.166667,0.0080975
26.2,3.80791
26.233333,0.007515
26.266667,0.00751
26.3,8.26939
26.333333,0.0020675
26.366667,13.3952
26.4,0.007545
26.433333,0.03069
26.466667,84.2961
26.5,0.00018
26.533333,0.0064575
26.566667,0.0012
26.6,0.0119125
26.633333,0.003065
26.666667,0.00209
26.7,0.001935
26.733333,0.00193
26.766667,0.00193
26.8,0.00193
26.833333,0.00193
26.866667,0.00193
26.9,0.00193
26.933333,0.00193
26.966667,0.00193
27,0.00193
27.033333,15.4761
27.066667,0.0043975
27.1,0.0022325
27.133333,0.0019025
27.166667,0.0018425
27.2,0.00183
27.233333,0.00183
27.266667,0.00183
27.3,0.00183
27.333333,0.00183
27.366667,0.00183
27.4,0.00183
27.433333,0.00183
27.466667,0.00183
27.5,0.00183
27.533333,0.00183
27.566667,0.00183
27.6,0.00183
27.633333,0.00183
27.666667,0.00183
27.7,0.00183
27.733333,0.00183
27.766667,0.00183
27.8,0.00183
27.833333,0.00183
27.866667,0.00183
27.9,0.00183
27.933333,0.00183
27.966667,0.00183
28,0.00183
28.033333,0.00183
28.066667,0.00183
28.1,0.00183
28.133333,0.00183
28.166667,0.00183
28.2,14.4526
28.233333,7.54146
28.266667,7.54757
28.3,7.24116
28.333333,7.43297
28.366667,7.43032
28.4,7.28071
28.433333,7.11582
28.466667,7.45344
28.5,7.74406
28.533333,6.50033
28.566667,5.43968
28.6,4.74618
28.633333,4.4241
28.666667,4.52906
28.7,4.41993
28.733333,4.30197
28.766667,4.51355
28.8,4.77429
28.833333,5.38737
28.866667,5.82782
28.9,5.84579
28.933333,5.80664
28.966667,5.1032
29,5.56436
29.033333,6.26593
29.066667,4.82975
29.1,3.77649
29.133333,3.96526
29.166667,4.09644
29.2,4.59946
29.233333,5.19067
29.266667,5.07608
29.3,4.78546
29.333333,5.30207
29.366667,5.77154
29.4,5.59299
29.433333,5.52693
29.466667,4.26835
29.5,2.9879
29.533333,113.603
29.566667,0.0033625
29.6,0.0007475
29.633333,0.000495
29.666667,0.000415
29.7,0.00041
29.733333,0.00041
29.766667,0.00041
29.8,0.00041
29.833333,0.00041
29.866667,0.00041
29.9,0.00041
29.933333,0.00041
29.966667,0.00041
30,0.00041
30.033333,0.00041
30.066667,0.00041
30.1,0.00041
30.133333,0.00041
30.166667,0.00041
30.2,0.00041
30.233333,0.00041
30.266667,0.00041
30.3,0.00041
30.333333,0.00041
30.366667,0.00041
30.4,0.00041
30.433333,0.00041
30.466667,0.016225
30.5,0.0174475
30.533333,0.0153275
30.566667,0.0157225
30.6,0.0137675
30.633333,0.015495
30.666667,0.013985
30.7,0.00043
30.733333,0.00041
30.766667,0.00041
30.8,4.18835
30.833333,0.0023525
30.866667,0.0007
30.9,0.00053
30.933333,0.000485
30.966667,0.000475
31,0.000475
31.033333,0.000475
31.066667,0.000475
31.1,0.000475
31.133333,0.000475
31.166667,0.000475
31.2,0.000475
31.233333,0.000475
31.266667,0.000475
31.3,0.000475
31.333333,0.000475
31.366667,0.000475
31.4,0.000475
31.433333,0.000475
31.466667,0.000475
31.5,0.000475
31.533333,0.000475
31.566667,0.000475
